id,mig_ext_llego
0,1
1,2
2,2
3,1
4,1
5,2
6,1
7,1
8,6
9,4
10,4
11,4
12,1
13,1
14,1
15,1
16,2
17,6
18,1
19,6
20,99
21,6
22,2
23,1
24,1
25,1
26,1
27,1
28,1
29,6
30,2
31,99
32,1
33,1
34,1
35,1
36,2
37,6
38,1
39,2
40,6
41,1
42,1
43,1
44,2
45,2
46,1
47,2
48,2
49,1
50,1
51,5
52,6
53,1
54,5
55,2
56,1
57,1
58,2
59,2
60,4
61,1
62,1
63,1
64,6
65,1
66,2
67,1
68,1
69,2
70,1
71,1
72,1
73,1
74,1
75,1
76,2
77,99
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,2
87,1
88,1
89,2
90,1
91,1
92,2
93,1
94,2
95,1
96,4
97,6
98,1
99,2
100,3
101,1
102,1
103,1
104,2
105,2
106,2
107,1
108,2
109,1
110,2
111,6
112,1
113,1
114,1
115,4
116,4
117,1
118,4
119,1
120,1
121,2
122,2
123,1
124,1
125,6
126,2
127,6
128,1
129,2
130,1
131,1
132,1
133,1
134,2
135,1
136,6
137,99
138,2
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,99
153,6
154,1
155,1
156,1
157,1
158,2
159,99
160,2
161,1
162,1
163,2
164,1
165,1
166,1
167,1
168,1
169,2
170,2
171,2
172,1
173,2
174,2
175,1
176,1
177,1
178,1
179,2
180,1
181,1
182,1
183,1
184,2
185,2
186,1
187,1
188,1
189,1
190,1
191,1
192,4
193,4
194,2
195,99
196,2
197,1
198,2
199,2
200,4
201,6
202,1
203,1
204,1
205,6
206,2
207,1
208,1
209,4
210,1
211,1
212,1
213,1
214,1
215,2
216,2
217,2
218,2
219,2
220,1
221,1
222,2
223,2
224,1
225,1
226,1
227,1
228,1
229,6
230,1
231,1
232,1
233,99
234,2
235,1
236,2
237,2
238,4
239,2
240,2
241,1
242,1
243,1
244,1
245,1
246,2
247,2
248,2
249,2
250,1
251,2
252,1
253,1
254,1
255,1
256,2
257,2
258,2
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,6
268,4
269,1
270,1
271,2
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,4
284,99
285,1
286,1
287,1
288,6
289,1
290,1
291,1
292,1
293,1
294,2
295,1
296,1
297,2
298,1
299,2
300,2
301,2
302,99
303,99
304,99
305,2
306,2
307,1
308,1
309,2
310,2
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,99
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,6
332,6
333,2
334,2
335,1
336,1
337,1
338,1
339,1
340,2
341,1
342,2
343,2
344,2
345,2
346,6
347,2
348,2
349,2
350,2
351,2
352,2
353,1
354,2
355,2
356,2
357,1
358,2
359,2
360,1
361,2
362,2
363,2
364,2
365,2
366,2
367,1
368,1
369,1
370,2
371,2
372,2
373,1
374,1
375,1
376,2
377,2
378,99
379,2
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,2
388,2
389,1
390,2
391,1
392,1
393,99
394,99
395,2
396,1
397,1
398,6
399,2
400,1
401,1
402,1
403,6
404,1
405,1
406,1
407,1
408,1
409,2
410,6
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,4
419,2
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,2
430,2
431,99
432,2
433,1
434,2
435,1
436,1
437,1
438,1
439,1
440,1
441,4
442,1
443,1
444,1
445,1
446,2
447,1
448,2
449,1
450,1
451,1
452,1
453,1
454,2
455,2
456,1
457,2
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,2
466,1
467,1
468,1
469,1
470,1
471,1
472,6
473,2
474,1
475,1
476,1
477,99
478,1
479,1
480,1
481,1
482,1
483,2
484,2
485,6
486,2
487,2
488,6
489,2
490,2
491,99
492,1
493,1
494,2
495,1
496,1
497,99
498,2
499,2
500,2
501,1
502,1
503,2
504,2
505,2
506,4
507,4
508,4
509,99
510,1
511,1
512,1
513,1
514,2
515,2
516,2
517,2
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,2
526,1
527,1
528,1
529,1
530,1
531,99
532,99
533,1
534,1
535,1
536,2
537,2
538,2
539,2
540,2
541,99
542,2
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,2
553,99
554,6
555,99
556,1
557,1
558,1
559,2
560,1
561,1
562,2
563,1
564,2
565,2
566,1
567,99
568,2
569,1
570,2
571,99
572,1
573,2
574,6
575,1
576,2
577,2
578,2
579,2
580,1
581,1
582,2
583,2
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,2
592,1
593,1
594,1
595,1
596,1
597,1
598,4
599,1
600,1
601,1
602,1
603,1
604,1
605,2
606,1
607,2
608,2
609,4
610,2
611,1
612,2
613,2
614,2
615,2
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,2
626,1
627,1
628,1
629,1
630,2
631,1
632,1
633,6
634,6
635,2
636,2
637,2
638,1
639,1
640,1
641,1
642,4
643,2
644,2
645,2
646,1
647,6
648,6
649,1
650,1
651,1
652,2
653,1
654,99
655,1
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,1
665,1
666,2
667,1
668,1
669,1
670,1
671,1
672,1
673,6
674,6
675,2
676,99
677,6
678,1
679,1
680,1
681,1
682,1
683,1
684,2
685,2
686,6
687,6
688,2
689,2
690,2
691,1
692,1
693,99
694,99
695,99
696,99
697,99
698,4
699,1
700,1
701,2
702,1
703,4
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,99
720,1
721,2
722,2
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,6
735,6
736,4
737,1
738,1
739,1
740,99
741,1
742,1
743,1
744,4
745,1
746,2
747,99
748,1
749,1
750,1
751,2
752,2
753,2
754,1
755,4
756,99
757,6
758,6
759,2
760,6
761,1
762,2
763,2
764,1
765,99
766,1
767,1
768,1
769,1
770,1
771,1
772,2
773,2
774,2
775,2
776,99
777,99
778,1
779,1
780,4
781,6
782,6
783,4
784,2
785,2
786,2
787,2
788,4
789,2
790,1
791,2
792,2
793,1
794,2
795,2
796,6
797,6
798,2
799,2
800,2
801,1
802,99
803,99
804,6
805,1
806,1
807,1
808,1
809,2
810,1
811,4
812,1
813,4
814,1
815,4
816,1
817,1
818,6
819,6
820,1
821,1
822,1
823,1
824,1
825,6
826,1
827,1
828,2
829,1
830,2
831,1
832,2
833,2
834,1
835,1
836,1
837,2
838,1
839,1
840,2
841,2
842,1
843,1
844,2
845,2
846,4
847,2
848,1
849,2
850,2
851,99
852,2
853,2
854,1
855,1
856,2
857,1
858,1
859,1
860,1
861,2
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,99
875,1
876,1
877,1
878,1
879,1
880,99
881,2
882,2
883,2
884,1
885,1
886,2
887,2
888,1
889,2
890,2
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,4
901,1
902,2
903,1
904,2
905,2
906,1
907,2
908,1
909,1
910,1
911,1
912,1
913,1
914,2
915,4
916,2
917,1
918,1
919,1
920,2
921,2
922,4
923,4
924,4
925,1
926,2
927,1
928,6
929,2
930,1
931,1
932,99
933,1
934,2
935,1
936,2
937,6
938,1
939,1
940,1
941,1
942,2
943,1
944,1
945,6
946,1
947,1
948,2
949,2
950,2
951,2
952,2
953,6
954,2
955,1
956,6
957,1
958,1
959,4
960,99
961,1
962,1
963,99
964,1
965,1
966,1
967,1
968,1
969,4
970,2
971,2
972,2
973,1
974,1
975,1
976,4
977,4
978,4
979,2
980,1
981,2
982,2
983,6
984,1
985,1
986,2
987,2
988,1
989,1
990,1
991,1
992,1
993,1
994,2
995,1
996,1
997,1
998,4
999,1
